Time (s from start),LDR Value,Marker
0.0,337,Start Block 3
0.002,337,
0.004,336,
0.006,336,
0.008,337,
0.01,337,
0.012,337,
0.014,337,
0.016,337,
0.018,336,
0.02,336,
0.022,336,
0.024,336,
0.026,337,
0.028,336,
0.03,337,
0.032,337,
0.034,336,
0.036,336,
0.038,337,
0.04,336,
0.042,336,
0.044,338,
0.046,337,
0.048,336,
0.05,332,
0.052,324,
0.054,319,
0.056,313,
0.058,308,
0.06,303,
0.062,299,
0.064,296,
0.066,292,
0.068,288,
0.07,285,
0.072,281,
0.074,279,
0.076,276,
0.078,273,
0.08,270,
0.082,269,
0.084,267,
0.086,265,
0.088,264,
0.09,262,
0.092,261,
0.094,259,
0.096,258,
0.098,257,
0.1,256,
0.102,255,
0.104,254,
0.106,253,
0.108,252,
0.11,251,
0.112,251,
0.114,250,
0.116,249,
0.118,248,
0.12,247,
0.122,247,
0.124,246,
0.126,246,
0.128,246,
0.13,246,
0.132,245,
0.134,245,
0.136,244,
0.138,244,
0.14,243,
0.142,243,
0.144,242,
0.146,243,
0.148,242,
0.15,242,
0.152,242,
0.154,242,
0.156,241,
0.158,241,
0.16,240,
0.162,241,
0.164,240,
0.166,240,
0.168,240,
0.17,240,
0.172,240,
0.174,239,
0.176,240,
0.178,239,
0.18,239,
0.182,238,
0.184,239,
0.186,239,
0.188,238,
0.19,238,
0.192,238,
0.194,238,
0.196,238,
0.198,238,
0.2,237,
0.202,238,
0.204,238,
0.206,238,
0.208,237,
0.21,237,
0.212,237,
0.214,238,
0.216,237,
0.218,237,
0.22,237,
0.222,236,
0.224,237,
0.226,236,
0.228,236,
0.23,236,
0.232,237,
0.234,236,
0.236,236,
0.238,236,
0.24,236,
0.242,235,
0.244,236,
0.246,236,
0.248,235,
0.25,235,
0.252,236,
0.254,236,
0.256,235,
0.258,235,
0.26,235,
0.262,235,
0.264,234,
0.266,235,
0.268,235,
0.27,236,
0.272,236,
0.274,235,
0.276,234,
0.278,235,
0.28,234,
0.282,234,
0.284,234,
0.286,234,
0.288,234,
0.29,234,
0.292,235,
0.294,234,
0.296,234,
0.298,234,
0.3,234,
0.302,234,
0.304,234,
0.306,234,
0.308,234,
0.31,234,
0.312,233,
0.314,233,
0.316,234,
0.318,233,
0.32,233,
0.322,233,
0.324,233,
0.326,234,
0.328,233,
0.33,234,
0.332,233,
0.334,233,
0.336,233,
0.338,233,
0.34,233,
0.342,234,
0.344,234,
0.346,233,
0.348,233,
0.35,233,
0.352,233,
0.354,233,
0.356,233,
0.358,233,
0.36,232,
0.362,232,
0.364,232,
0.366,233,
0.368,233,
0.37,233,
0.372,233,
0.374,233,
0.376,233,
0.378,232,
0.38,232,
0.382,232,
0.384,234,
0.386,232,
0.388,232,
0.39,233,
0.392,232,
0.394,232,
0.396,233,
0.398,232,
0.4,232,
0.402,232,
0.404,232,
0.406,232,
0.408,233,
0.41,233,
0.412,232,
0.414,232,
0.416,232,
0.418,232,
0.42,232,
0.422,232,
0.424,232,
0.426,232,
0.428,232,
0.43,233,
0.432,232,
0.434,231,
0.436,232,
0.438,232,
0.44,232,
0.442,231,
0.444,232,
0.446,232,
0.448,232,
0.45,232,
0.452,232,
