Time (s from start),LDR Value,Marker
0.0,336,Start Block 2
0.002,337,
0.004,337,
0.006,336,
0.008,336,
0.01,337,
0.012,336,
0.014,336,
0.016,336,
0.018,336,
0.02,336,
0.022,337,
0.024,337,
0.026,336,
0.028,337,
0.03,337,
0.032,336,
0.034,337,
0.036,336,
0.038,336,
0.04,337,
0.042,337,
0.044,336,
0.046,337,
0.048,337,
0.05,334,
0.052,328,
0.054,322,
0.056,315,
0.058,310,
0.06,306,
0.062,301,
0.064,298,
0.066,294,
0.068,290,
0.07,286,
0.072,282,
0.074,280,
0.076,277,
0.078,274,
0.08,272,
0.082,269,
0.084,268,
0.086,267,
0.088,265,
0.09,262,
0.092,261,
0.094,259,
0.096,258,
0.098,257,
0.1,256,
0.102,255,
0.104,254,
0.106,253,
0.108,252,
0.11,251,
0.112,250,
0.114,250,
0.116,249,
0.118,248,
0.12,248,
0.122,247,
0.124,248,
0.126,247,
0.128,246,
0.13,246,
0.132,245,
0.134,245,
0.136,244,
0.138,243,
0.14,243,
0.142,243,
0.144,243,
0.146,243,
0.148,242,
0.15,242,
0.152,242,
0.154,241,
0.156,241,
0.158,241,
0.16,241,
0.162,241,
0.164,241,
0.166,240,
0.168,240,
0.17,239,
0.172,239,
0.174,239,
0.176,239,
0.178,239,
0.18,239,
0.182,238,
0.184,239,
0.186,239,
0.188,239,
0.19,238,
0.192,238,
0.194,237,
0.196,238,
0.198,238,
0.2,237,
0.202,238,
0.204,238,
0.206,237,
0.208,237,
0.21,238,
0.212,237,
0.214,236,
0.216,237,
0.218,237,
0.22,236,
0.222,236,
0.224,236,
0.226,236,
0.228,236,
0.23,236,
0.232,236,
0.234,236,
0.236,236,
0.238,236,
0.24,236,
0.242,235,
0.244,236,
0.246,236,
0.248,235,
0.25,235,
0.252,235,
0.254,234,
0.256,234,
0.258,235,
0.26,235,
0.262,235,
0.264,235,
0.266,235,
0.268,235,
0.27,235,
0.272,234,
0.274,235,
0.276,235,
0.278,235,
0.28,234,
0.282,234,
0.284,234,
0.286,233,
0.288,234,
0.29,234,
0.292,235,
0.294,234,
0.296,233,
0.298,234,
0.3,234,
0.302,234,
0.304,234,
0.306,234,
