Time (s from start),LDR Value,Marker
0.462,237,
0.464,236,
0.466,236,
0.468,236,
0.47,236,
0.472,236,
0.474,236,
0.476,236,
0.478,236,
0.48,236,
0.482,236,
0.484,238,
0.486,236,
0.488,236,
0.49,236,
0.492,236,
0.494,236,
0.496,235,
0.498,236,
0.5,237,
0.502,237,
0.504,237,
0.506,235,
0.508,235,
0.51,236,
0.512,236,
0.514,236,
0.516,236,
0.518,236,
0.52,236,
0.522,236,
0.524,236,
0.526,236,
0.528,236,
0.53,236,
0.532,235,
0.534,236,
0.536,236,
0.538,236,
0.54,235,
0.542,236,
0.544,236,
0.546,236,
0.548,236,
0.55,236,
0.552,236,
0.554,235,
0.556,235,
0.558,236,
0.56,235,
0.562,235,
0.564,235,
0.566,235,
0.568,235,
0.57,236,
0.572,235,
0.574,236,
0.576,236,
0.578,235,
0.58,236,
0.582,235,
0.584,236,
0.586,235,
0.588,235,
0.59,235,
0.592,235,
0.594,235,
0.596,235,
0.598,235,
0.6,236,
0.602,235,
0.604,236,
0.606,235,
0.608,236,
0.61,235,
0.612,235,
0.614,235,
0.616,235,
0.618,235,
0.62,236,
0.622,235,
0.624,236,
0.626,234,
0.628,235,
0.63,236,
0.632,235,
0.634,235,
0.636,235,
0.638,235,
0.64,235,
0.642,235,
0.644,236,
0.646,236,
0.648,235,
0.65,235,
0.652,235,
0.654,235,
0.656,234,
0.658,235,
0.66,235,
0.662,235,
0.664,235,
0.666,236,
0.668,236,
0.67,235,
0.672,235,
0.674,234,
0.676,235,
0.678,235,
0.68,234,
0.682,235,
0.684,234,
0.686,235,
0.688,235,
0.69,235,
0.692,235,
0.694,234,
0.696,233,
0.698,235,
0.7,235,
0.702,234,
0.704,236,
0.706,236,
0.708,234,
0.71,235,
0.712,234,
0.714,234,
0.716,234,
0.718,235,
0.72,235,
0.722,234,
0.724,235,
0.726,234,
0.728,235,
0.73,235,
0.732,235,
0.734,235,
0.736,235,
0.738,235,
0.74,235,
0.742,235,
0.744,234,
0.746,235,
0.748,234,
0.75,235,
0.752,235,
0.754,235,
0.756,234,
0.758,234,
0.76,235,
0.762,235,
0.764,235,
0.766,235,
0.768,234,
0.77,235,
0.772,235,
0.774,234,
0.776,235,
0.778,234,
0.78,235,
0.782,234,
0.784,235,
0.786,235,
0.788,235,
0.79,234,
0.792,234,
0.794,234,
0.796,233,
0.798,235,
0.8,235,
0.802,235,
0.804,235,
0.806,235,
0.808,235,
0.81,234,
0.812,234,
0.814,234,
0.816,234,
0.818,234,
0.82,234,
0.822,234,
0.824,234,
0.826,234,
0.828,235,
0.83,234,
0.832,234,
0.834,234,
0.836,234,
0.838,235,
0.84,235,
0.842,234,
0.844,235,
0.846,234,
0.848,235,
0.85,234,
0.852,235,
0.854,234,
0.856,235,
0.858,234,
0.86,234,
0.862,234,
0.864,235,
0.866,236,
0.868,234,
0.87,234,
0.872,235,
0.874,234,
0.876,234,
0.878,234,
0.88,235,
0.882,234,
0.884,234,
0.886,235,
0.888,234,
0.89,235,
0.892,234,
0.894,234,
0.896,235,
0.898,234,
0.9,234,
0.902,234,
0.904,235,
0.906,234,
0.908,234,
0.91,234,
0.912,234,
0.914,234,
0.916,235,
0.918,234,
0.92,234,
0.922,234,
0.924,234,
0.926,234,
0.928,234,
0.93,234,
0.932,234,
0.934,234,
0.936,234,
0.938,234,
0.94,234,
0.942,234,
0.944,234,
0.946,234,
0.948,234,
0.95,234,
0.952,234,
0.954,233,
0.956,235,
0.958,234,
0.96,234,
0.962,234,
0.964,234,
0.966,233,
0.968,234,
0.97,234,
0.972,234,
0.974,234,
0.976,234,
0.978,235,
0.98,233,
0.982,234,
0.984,234,
0.986,236,
0.988,234,
0.99,234,
0.992,234,
0.994,235,
0.996,234,
0.998,234,
1.0,234,
1.002,234,
1.004,234,
1.006,233,
1.008,234,
1.01,234,
1.012,234,
1.014,233,
1.016,233,
1.018,234,
1.02,234,
1.022,234,
1.024,234,
1.026,235,
1.028,234,
1.03,234,
1.032,234,
1.034,234,
1.036,234,
1.038,234,
1.04,234,
1.042,234,
1.044,234,
1.046,235,
1.048,235,
1.05,234,
1.052,234,
1.054,234,
1.056,234,
1.058,233,
1.06,234,
1.062,234,
1.064,234,
1.066,235,
1.068,233,
1.07,234,
1.072,234,
1.074,234,
1.076,233,
1.078,234,
1.08,234,
1.082,234,
1.084,234,
1.086,233,
1.088,233,
1.09,234,
1.092,234,
1.094,233,
1.096,234,
1.098,234,
1.1,234,
1.102,234,
1.104,234,
1.106,235,
1.108,234,
1.11,234,
1.112,234,
1.114,233,
1.116,234,
1.118,234,
1.12,234,
1.122,234,
1.124,234,
1.126,236,
1.128,234,
1.13,233,
1.132,234,
1.134,233,
1.136,234,
1.138,234,
1.14,234,
1.142,234,
1.144,234,
1.146,235,
1.148,233,
1.15,234,
1.152,234,
1.154,233,
1.156,234,
1.158,234,
1.16,234,
1.162,234,
1.164,234,
1.166,234,
1.168,234,
1.17,234,
1.172,233,
1.174,234,
1.176,234,
1.178,234,
1.18,233,
1.182,234,
1.184,234,
1.186,234,
1.188,234,
1.19,234,
1.192,234,
1.194,233,
1.196,234,
1.198,233,
1.2,234,
1.202,234,
1.204,234,
1.206,234,
1.208,234,
1.21,234,
1.212,234,
1.214,233,
1.216,234,
1.218,234,
1.22,233,
1.222,234,
1.224,233,
1.226,234,
1.228,233,
1.23,233,
1.232,233,
1.234,234,
1.236,234,
1.238,234,
1.24,234,
1.242,233,
1.244,234,
1.246,233,
1.248,234,
1.25,234,
1.252,233,
1.254,233,
1.256,234,
1.258,233,
1.26,233,
1.262,233,
1.264,234,
1.266,234,
1.268,234,
1.27,233,
1.272,234,
1.274,233,
1.276,233,
1.278,234,
1.28,233,
1.282,233,
1.284,234,
1.286,233,
1.288,234,
1.29,234,
1.292,234,
1.294,233,
1.296,233,
1.298,234,
1.3,234,
1.302,234,
1.304,235,
1.306,234,
1.308,232,
1.31,233,
1.312,234,
1.314,233,
1.316,233,
1.318,233,
1.32,233,
1.322,233,
1.324,234,
1.326,233,
1.328,233,
1.33,233,
1.332,233,
1.334,233,
1.336,234,
1.338,233,
1.34,233,
1.342,234,
1.344,234,
1.346,234,
1.348,233,
1.35,234,
1.352,233,
1.354,233,
1.356,234,
1.358,233,
1.36,233,
1.362,233,
1.364,233,
1.366,234,
1.368,234,
1.37,234,
1.372,233,
1.374,233,
1.376,233,
1.378,234,
1.38,233,
1.382,233,
1.384,234,
1.386,233,
1.388,234,
1.39,233,
1.392,234,
1.394,233,
1.396,233,
1.398,233,
1.4,233,
1.402,234,
1.404,234,
1.406,233,
1.408,233,
1.41,234,
1.412,233,
1.414,233,
1.416,233,
1.418,233,
1.42,234,
1.422,233,
1.424,234,
1.426,234,
1.428,233,
1.43,233,
1.432,233,
1.434,233,
1.436,233,
1.438,234,
1.44,233,
1.442,233,
1.444,233,
1.446,234,
1.448,234,
1.45,233,
1.452,233,
1.454,233,
1.456,233,
1.458,233,
1.46,233,
1.462,233,
1.464,234,
1.466,234,
1.468,233,
1.47,233,
1.472,233,
1.474,233,
1.476,233,
1.478,233,
1.48,233,
1.482,233,
1.484,234,
1.486,233,
1.488,233,
1.49,233,
1.492,233,
1.494,234,
1.496,233,
1.498,234,
1.5,234,
1.502,233,
1.504,234,
1.506,233,
1.508,233,
1.51,233,
1.512,233,
1.514,233,
1.516,233,
1.518,233,
1.52,233,
1.522,233,
1.524,234,
1.526,233,
1.528,233,
1.53,233,
1.532,233,
1.534,233,
1.536,233,
1.538,234,
1.54,233,
1.542,233,
1.544,233,
1.546,233,
1.548,233,
1.55,233,
1.552,233,
1.554,233,
1.556,233,
1.558,233,
1.56,233,
1.562,233,
1.564,233,
1.566,233,
1.568,233,
1.57,233,
1.572,234,
1.574,232,
1.576,233,
1.578,233,
1.58,234,
1.582,233,
1.584,233,
1.586,234,
1.588,233,
1.59,233,
1.592,233,
1.594,233,
1.596,233,
1.598,233,
1.6,233,
1.602,233,
1.604,233,
1.606,233,
1.608,233,
1.61,233,
1.612,233,
1.614,233,
1.616,233,
1.618,233,
1.62,233,
1.622,233,
1.624,233,
1.626,232,
1.628,233,
1.63,233,
1.632,233,
1.634,233,
1.636,233,
1.638,233,
1.64,233,
1.642,233,
1.644,233,
1.646,233,
1.648,233,
1.65,233,
1.652,233,
1.654,233,
1.656,233,
1.658,233,
1.66,233,
1.662,233,
1.664,234,
1.666,233,
1.668,234,
1.67,233,
1.672,233,
1.674,233,
1.676,233,
1.678,233,
1.68,233,
1.682,233,
1.684,233,
1.686,234,
1.688,234,
1.69,233,
1.692,233,
1.694,233,
1.696,233,
1.698,233,
1.7,233,
1.702,233,
1.704,233,
1.706,233,
1.708,233,
1.71,233,
1.712,233,
1.714,233,
1.716,233,
1.718,233,
1.72,233,
1.722,233,
1.724,233,
1.726,233,
1.728,233,
1.73,233,
1.732,233,
1.734,233,
1.736,234,
1.738,233,
1.74,234,
1.742,233,
1.744,234,
1.746,234,
1.748,233,
1.75,233,
1.752,233,
1.754,234,
1.756,232,
1.758,234,
1.76,233,
1.762,234,
1.764,234,
1.766,233,
1.768,234,
1.77,233,
1.772,233,
1.774,233,
1.776,233,
1.778,233,
1.78,233,
1.782,233,
1.784,233,
1.786,234,
1.788,233,
1.79,233,
1.792,233,
1.794,233,
1.796,233,
1.798,233,
1.8,233,
1.802,233,
1.804,233,
1.806,233,
1.808,233,
1.81,233,
1.812,233,
1.814,233,
1.816,232,
1.818,233,
1.82,233,
1.822,233,
1.824,233,
1.826,233,
1.828,233,
1.83,233,
1.832,233,
1.834,233,
1.836,233,
1.838,233,
1.84,233,
1.842,233,
1.844,233,
1.846,233,
1.848,233,
1.85,233,
1.852,233,
1.854,233,
1.856,233,
1.858,233,
1.86,233,
1.862,233,
1.864,233,
1.866,233,
1.868,233,
1.87,233,
1.872,233,
1.874,232,
1.876,233,
1.878,233,
1.88,233,
1.882,233,
1.884,233,
1.886,233,
1.888,234,
1.89,233,
1.892,233,
1.894,233,
1.896,232,
1.898,233,
1.9,233,
1.902,233,
1.904,233,
1.906,233,
1.908,233,
1.91,233,
1.912,233,
1.914,234,
1.916,233,
1.918,233,
1.92,233,
1.922,234,
1.924,233,
1.926,233,
1.928,232,
1.93,233,
1.932,233,
1.934,233,
1.936,232,
1.938,234,
1.94,233,
1.942,233,
1.944,233,
1.946,233,
1.948,233,
1.95,233,
1.952,233,
1.954,233,
1.956,233,
1.958,233,
1.96,233,
1.962,233,
1.964,233,
1.966,234,
1.968,233,
1.97,232,
1.972,233,
1.974,232,
1.976,233,
1.978,233,
1.98,233,
1.982,233,
1.984,233,
1.986,233,
1.988,233,
1.99,233,
1.992,233,
1.994,233,
1.996,233,
1.998,232,
2.0,233,
2.002,233,
2.004,234,
2.006,233,
2.008,233,
2.01,233,
2.012,233,
2.014,232,
2.016,231,
2.018,232,
2.02,233,
2.022,233,
2.024,233,
2.026,233,
2.028,233,
2.03,233,
2.032,233,
2.034,233,
2.036,232,
2.038,233,
2.04,233,
2.042,233,
2.044,233,
2.046,233,
2.048,232,
2.05,233,
2.052,233,
2.054,233,
2.056,232,
2.058,232,
2.06,233,
2.062,233,
2.064,233,
2.066,233,
2.068,232,
2.07,233,
2.072,233,
2.074,233,
2.076,232,
2.078,232,
2.08,233,
2.082,233,
2.084,233,
2.086,234,
2.088,233,
2.09,234,
2.092,232,
2.094,232,
2.096,232,
2.098,233,
2.1,233,
2.102,233,
2.104,233,
2.106,233,
2.108,234,
2.11,233,
2.112,233,
2.114,233,
2.116,233,
2.118,233,
2.12,233,
2.122,233,
2.124,232,
2.126,233,
2.128,234,
2.13,233,
2.132,233,
2.134,233,
2.136,233,
2.138,233,
2.14,233,
2.142,233,
2.144,233,
2.146,233,
2.148,233,
2.15,233,
2.152,233,
2.154,233,
2.156,233,
2.158,233,
2.16,233,
2.162,233,
2.164,233,
2.166,233,
2.168,233,
2.17,233,
2.172,233,
2.174,233,
2.176,232,
2.178,232,
2.18,233,
2.182,233,
2.184,233,
2.186,233,
2.188,233,
2.19,233,
2.192,233,
2.194,232,
2.196,233,
2.198,233,
2.2,233,
2.202,233,
2.204,233,
2.206,233,
2.208,233,
2.21,233,
2.212,233,
2.214,233,
2.216,233,
2.218,233,
2.22,233,
2.222,233,
2.224,233,
2.226,233,
2.228,233,
2.23,233,
2.232,233,
2.234,233,
2.236,233,
2.238,233,
2.24,233,
2.242,233,
2.244,233,
2.246,233,
2.248,233,
2.25,233,
2.252,232,
2.254,232,
2.256,233,
2.258,233,
2.26,233,
2.262,233,
2.264,233,
2.266,233,
2.268,233,
2.27,233,
2.272,233,
2.274,233,
2.276,233,
2.278,233,
2.28,233,
2.282,233,
2.284,233,
2.286,233,
2.288,233,
2.29,233,
2.292,233,
2.294,233,
2.296,233,
2.298,233,
2.3,233,
2.302,233,
2.304,233,
2.306,233,
2.308,232,
2.31,233,
2.312,233,
2.314,233,
2.316,233,
2.318,233,
2.32,233,
2.322,233,
2.324,232,
2.326,233,
2.328,233,
2.33,233,
2.332,233,
2.334,233,
2.336,233,
2.338,233,
2.34,233,
2.342,233,
2.344,233,
2.346,233,
2.348,233,
2.35,233,
2.352,233,
2.354,233,
2.356,232,
2.358,233,
2.36,233,
2.362,233,
2.364,233,
2.366,233,
2.368,233,
2.37,233,
2.372,232,
2.374,233,
2.376,233,
2.378,233,
2.38,233,
2.382,233,
2.384,233,
2.386,233,
2.388,233,
2.39,233,
2.392,233,
2.394,233,
2.396,233,
2.398,232,
2.4,232,
2.402,233,
2.404,233,
2.406,233,
2.408,233,
2.41,233,
2.412,233,
2.414,233,
2.416,232,
2.418,233,
2.42,232,
2.422,233,
2.424,233,
2.426,233,
2.428,233,
2.43,233,
2.432,233,
2.434,232,
2.436,232,
2.438,233,
2.44,233,
2.442,233,
2.444,233,
2.446,233,
2.448,233,
2.45,232,
2.452,233,
2.454,232,
2.456,232,
2.458,232,
2.46,233,
2.462,233,
2.464,233,
2.466,233,
2.468,233,
2.47,233,
2.472,232,
2.474,233,
2.476,233,
2.478,232,
2.48,232,
2.482,233,
2.484,233,
2.486,233,
2.488,233,
2.49,233,
2.492,233,
2.494,233,
2.496,233,
2.498,232,
2.5,233,
2.502,233,
2.504,233,
2.506,233,
2.508,233,
2.51,233,
2.512,233,
2.514,232,
2.516,233,
2.518,232,
2.52,233,
2.522,233,
2.524,233,
2.526,233,
2.528,233,
2.53,233,
2.532,233,
2.534,233,
2.536,233,
2.538,233,
2.54,233,
2.542,233,
2.544,234,
2.546,233,
2.548,232,
2.55,233,
2.552,233,
2.554,233,
2.556,233,
2.558,232,
2.56,233,
2.562,233,
2.564,234,
2.566,234,
2.568,233,
2.57,233,
2.572,233,
2.574,233,
2.576,233,
2.578,233,
2.58,233,
2.582,233,
2.584,233,
2.586,233,
2.588,232,
2.59,233,
2.592,232,
2.594,232,
2.596,233,
2.598,232,
2.6,233,
2.602,233,
2.604,233,
2.606,233,
2.608,232,
2.61,233,
2.612,233,
2.614,233,
2.616,232,
2.618,233,
2.62,233,
2.622,233,
2.624,234,
2.626,234,
2.628,233,
2.63,233,
2.632,233,
2.634,233,
2.636,233,
2.638,233,
2.64,233,
2.642,233,
2.644,233,
2.646,233,
2.648,233,
2.65,233,
2.652,233,
2.654,233,
2.656,233,
2.658,233,
2.66,233,
2.662,233,
2.664,233,
2.666,233,
2.668,233,
2.67,233,
2.672,233,
2.674,233,
2.676,233,
2.678,233,
2.68,232,
2.682,232,
2.684,233,
2.686,233,
2.688,233,
2.69,233,
2.692,233,
2.694,233,
2.696,233,
2.698,233,
2.7,233,
2.702,233,
2.704,232,
2.706,233,
2.708,233,
2.71,233,
2.712,233,
2.714,233,
2.716,232,
2.718,233,
2.72,233,
2.722,233,
2.724,233,
2.726,233,
2.728,232,
2.73,233,
2.732,233,
2.734,233,
2.736,233,
2.738,233,
2.74,233,
2.742,233,
2.744,233,
2.746,233,
2.748,233,
2.75,232,
2.752,232,
2.754,233,
2.756,232,
2.758,233,
2.76,233,
2.762,232,
2.764,232,
2.766,233,
2.768,233,
2.77,233,
2.772,232,
2.774,233,
2.776,233,
2.778,233,
2.78,233,
2.782,233,
2.784,232,
2.786,233,
2.788,232,
2.79,233,
2.792,233,
2.794,233,
2.796,233,
2.798,232,
2.8,233,
2.802,233,
2.804,233,
2.806,233,
2.808,233,
2.81,233,
2.812,233,
2.814,233,
2.816,232,
2.818,233,
2.82,233,
2.822,233,
2.824,232,
2.826,233,
2.828,232,
2.83,233,
2.832,233,
2.834,232,
2.836,233,
2.838,233,
2.84,233,
2.842,233,
2.844,233,
2.846,233,
2.848,233,
2.85,232,
2.852,232,
2.854,233,
2.856,232,
2.858,232,
2.86,233,
2.862,233,
2.864,233,
2.866,233,
2.868,233,
2.87,233,
2.872,233,
2.874,233,
2.876,232,
2.878,233,
2.88,233,
2.882,233,
2.884,233,
2.886,233,
2.888,233,
2.89,234,
2.892,233,
2.894,232,
2.896,232,
2.898,232,
2.9,233,
2.902,233,
2.904,233,
2.906,233,
2.908,233,
2.91,233,
2.912,233,
2.914,233,
2.916,232,
2.918,232,
2.92,233,
2.922,233,
2.924,232,
2.926,233,
2.928,232,
2.93,232,
2.932,233,
2.934,233,
2.936,232,
2.938,231,
2.94,233,
2.942,233,
2.944,232,
2.946,233,
2.948,234,
2.95,232,
2.952,233,
2.954,233,
2.956,233,
2.958,233,
2.96,233,
2.962,233,
2.964,232,
2.966,233,
2.968,232,
2.97,233,
2.972,233,
2.974,232,
2.976,232,
2.978,232,
2.98,233,
2.982,233,
2.984,233,
2.986,233,
2.988,233,
2.99,233,
2.992,233,
2.994,233,
2.996,233,
2.998,232,
3.0,233,
3.002,233,
3.004,233,
3.006,233,
3.008,234,
3.01,233,
3.012,233,
3.014,233,
3.016,232,
3.018,232,
3.02,232,
3.022,233,
3.024,233,
3.026,233,
3.028,233,
3.03,232,
3.032,233,
3.034,233,
3.036,233,
3.038,233,
3.04,233,
3.042,233,
3.044,233,
3.046,233,
3.048,233,
3.05,233,
3.052,232,
3.054,233,
3.056,232,
3.058,233,
3.06,233,
3.062,233,
3.064,233,
3.066,233,
3.068,232,
3.07,233,
3.072,233,
3.074,232,
3.076,233,
3.078,232,
3.08,233,
3.082,232,
3.084,233,trial_1
3.086,233,
3.088,232,
3.09,232,
3.092,233,
3.094,232,
3.096,233,
3.098,233,
3.1,232,
3.102,233,
3.104,232,
3.106,233,
3.108,233,
3.11,233,
3.112,233,
3.114,233,
3.116,233,
3.118,232,
3.12,233,
3.122,233,
3.124,233,
3.126,233,
3.128,233,
3.13,233,
3.132,233,
3.134,233,
3.136,228,
3.138,213,
3.14,198,
3.142,185,
3.144,174,
3.146,164,
3.148,156,
3.15,148,
3.152,142,
3.154,139,
3.156,159,
3.158,196,
3.16,233,
3.162,262,
3.164,285,
3.166,304,
3.168,318,
3.17,315,
3.172,294,
3.174,268,
3.176,246,
3.178,227,
3.18,212,
3.182,198,
3.184,187,
3.186,177,
3.188,179,
3.19,206,
3.192,241,
3.194,271,
3.196,295,
3.198,313,
3.2,328,
3.202,338,
3.204,325,
3.206,300,
3.208,275,
3.21,253,
3.212,234,
3.214,219,
3.216,204,
3.218,193,
3.22,185,
3.222,194,
3.224,227,
3.226,260,
3.228,288,
3.23,309,
3.232,325,
3.234,338,
3.236,343,
3.238,322,
3.24,297,
3.242,272,
3.244,251,
3.246,233,
3.248,218,
3.25,205,
3.252,194,
3.254,188,
3.256,207,
3.258,243,
3.26,274,
3.262,299,
3.264,319,
3.266,334,
3.268,345,
3.27,341,
3.272,317,
3.274,291,
3.276,267,
3.278,247,
3.28,231,
3.282,216,
3.284,204,
3.286,193,
3.288,194,
3.29,222,
3.292,257,
3.294,285,
3.296,308,
3.298,326,
3.3,340,
3.302,350,
3.304,336,
3.306,310,
3.308,284,
3.31,262,
3.312,244,
3.314,227,
3.316,213,
3.318,201,
3.32,192,
3.322,202,
3.324,235,
3.326,269,
3.328,294,
3.33,316,
3.332,333,
3.334,345,
3.336,349,
3.338,328,
3.34,303,
3.342,278,
3.344,257,
3.346,240,
3.348,224,
3.35,211,
3.352,199,
3.354,193,
3.356,213,
3.358,248,
3.36,280,
3.362,304,
3.364,324,
3.366,339,
3.368,351,
3.37,345,
3.372,322,
3.374,295,
3.376,272,
3.378,251,
3.38,234,
3.382,220,
3.384,207,
3.386,196,
3.388,198,
3.39,224,
3.392,261,
3.394,289,
3.396,312,
3.398,330,
3.4,344,
3.402,353,
3.404,340,
3.406,314,
3.408,288,
3.41,266,
3.412,246,
3.414,230,
3.416,216,
3.418,205,
3.42,194,
3.422,205,
3.424,238,
3.426,271,
3.428,298,
3.43,320,
3.432,336,
3.434,348,
3.436,352,
3.438,331,
3.44,306,
3.442,281,
3.444,260,
3.446,241,
3.448,226,
3.45,212,
3.452,201,
3.454,195,
3.456,215,
3.458,251,
3.46,282,
3.462,307,
3.464,326,
3.466,342,
3.468,353,
3.47,347,
3.472,324,
3.474,297,
3.476,273,
3.478,254,
3.48,236,
3.482,222,
3.484,209,
3.486,199,
3.488,200,
3.49,227,
3.492,263,
3.494,292,
3.496,315,
3.498,332,
3.5,346,
3.502,356,
3.504,342,
3.506,317,
3.508,290,
3.51,269,
3.512,248,
3.514,232,
3.516,218,
3.518,207,
3.52,197,
3.522,207,
3.524,240,
3.526,274,
3.528,301,
3.53,322,
3.532,337,
3.534,351,
3.536,354,
3.538,334,
3.54,307,
3.542,283,
3.544,261,
3.546,243,
3.548,228,
3.55,214,
3.552,202,
3.554,197,
3.556,217,
3.558,252,
3.56,284,
3.562,309,
3.564,328,
3.566,343,
3.568,354,
3.57,349,
3.572,325,
3.574,299,
3.576,275,
3.578,255,
3.58,238,
3.582,223,
3.584,210,
3.586,199,
3.588,200,
3.59,229,
3.592,264,
3.594,293,
3.596,316,
3.598,333,
3.6,347,
3.602,357,
3.604,343,
3.606,317,
3.608,291,
3.61,268,
3.612,249,
3.614,233,
3.616,219,
3.618,207,
3.62,197,
3.622,208,
3.624,241,
3.626,275,
3.628,302,
3.63,323,
3.632,339,
3.634,352,
3.636,355,
3.638,334,
3.64,309,
3.642,284,
3.644,262,
3.646,244,
3.648,229,
3.65,215,
3.652,202,
3.654,197,
3.656,217,
3.658,252,
3.66,285,
3.662,310,
3.664,329,
3.666,344,
3.668,355,
3.67,350,
3.672,327,
3.674,300,
3.676,277,
3.678,256,
3.68,239,
3.682,225,
3.684,211,
3.686,200,
3.688,200,
3.69,230,
3.692,265,
3.694,294,
3.696,317,
3.698,335,
3.7,348,
3.702,358,
3.704,345,
3.706,318,
3.708,293,
3.71,269,
3.712,250,
3.714,234,
3.716,220,
3.718,207,
3.72,198,
3.722,209,
3.724,242,
3.726,276,
3.728,302,
3.73,323,
3.732,340,
3.734,353,
3.736,356,
3.738,336,
3.74,310,
3.742,285,
3.744,264,
3.746,245,
3.748,230,
3.75,216,
3.752,204,
3.754,198,
3.756,218,
3.758,254,
3.76,286,
3.762,311,
3.764,330,
3.766,345,
3.768,356,
3.77,352,
3.772,328,
3.774,301,
3.776,277,
3.778,258,
3.78,240,
3.782,225,
3.784,212,
3.786,201,
3.788,201,
3.79,231,
3.792,266,
3.794,295,
3.796,318,
3.798,335,
3.8,349,
3.802,359,
3.804,345,
3.806,319,
3.808,293,
3.81,270,
3.812,251,
3.814,234,
3.816,220,
3.818,209,
3.82,198,
3.822,209,
3.824,243,
3.826,277,
3.828,304,
3.83,325,
3.832,341,
3.834,354,
3.836,357,
3.838,337,
3.84,311,
3.842,285,
3.844,265,
3.846,246,
3.848,230,
3.85,217,
3.852,205,
3.854,198,
3.856,219,
3.858,255,
3.86,287,
3.862,312,
3.864,331,
3.866,346,
3.868,358,
3.87,353,
3.872,329,
3.874,302,
3.876,277,
3.878,257,
3.88,240,
3.882,225,
3.884,213,
3.886,201,
3.888,201,
3.89,231,
3.892,267,
3.894,296,
3.896,319,
3.898,336,
3.9,350,
3.902,360,
3.904,346,
3.906,321,
3.908,293,
3.91,271,
3.912,251,
3.914,235,
3.916,221,
3.918,208,
3.92,199,
3.922,210,
3.924,243,
3.926,278,
3.928,305,
3.93,326,
3.932,342,
3.934,354,
3.936,358,
3.938,337,
3.94,311,
3.942,286,
3.944,265,
3.946,246,
3.948,230,
3.95,218,
3.952,205,
3.954,199,
3.956,219,
3.958,254,
3.96,288,
3.962,313,
3.964,332,
3.966,347,
3.968,358,
3.97,353,
3.972,329,
3.974,302,
3.976,278,
3.978,258,
3.98,241,
3.982,226,
3.984,213,
