Time (s from start),LDR Value,Marker
0.0,356,Start Block 1
0.002,356,
0.004,357,
0.006,356,
0.008,356,
0.01,355,
0.012,356,
0.014,356,
0.016,356,
0.018,356,
0.02,356,
0.022,356,
0.024,355,
0.026,356,
0.028,356,
0.03,356,
0.032,356,
0.034,356,
0.036,356,
0.038,355,
0.04,356,
0.042,356,
0.044,356,
0.046,356,
0.048,356,
0.05,356,
0.052,355,
0.054,349,
0.056,342,
0.058,335,
0.06,328,
0.062,322,
0.064,317,
0.066,312,
0.068,308,
0.07,304,
0.072,300,
0.074,296,
0.076,292,
0.078,289,
0.08,285,
0.082,283,
0.084,281,
0.086,279,
0.088,276,
0.09,274,
0.092,272,
0.094,270,
0.096,269,
0.098,267,
0.1,266,
0.102,264,
0.104,264,
0.106,262,
0.108,261,
0.11,260,
0.112,260,
0.114,258,
0.116,257,
0.118,257,
0.12,256,
0.122,256,
0.124,255,
0.126,255,
0.128,253,
0.13,253,
0.132,252,
0.134,252,
0.136,251,
0.138,251,
0.14,250,
0.142,251,
0.144,250,
0.146,250,
0.148,249,
0.15,249,
0.152,248,
0.154,248,
0.156,249,
0.158,248,
0.16,247,
0.162,247,
0.164,247,
0.166,247,
0.168,246,
0.17,247,
0.172,245,
0.174,246,
0.176,246,
0.178,245,
0.18,245,
0.182,245,
0.184,245,
0.186,245,
0.188,244,
0.19,244,
0.192,244,
0.194,243,
0.196,243,
0.198,243,
0.2,243,
0.202,244,
0.204,243,
0.206,243,
0.208,243,
0.21,242,
0.212,242,
0.214,242,
0.216,243,
0.218,242,
0.22,242,
0.222,242,
0.224,242,
0.226,242,
0.228,242,
0.23,242,
0.232,241,
0.234,241,
0.236,242,
0.238,241,
0.24,241,
0.242,241,
0.244,241,
0.246,241,
0.248,240,
0.25,241,
0.252,241,
0.254,240,
0.256,240,
0.258,240,
0.26,240,
0.262,240,
0.264,240,
0.266,239,
0.268,240,
0.27,240,
0.272,240,
0.274,240,
0.276,239,
0.278,240,
0.28,239,
0.282,239,
0.284,240,
0.286,240,
0.288,240,
0.29,239,
0.292,239,
0.294,239,
0.296,239,
0.298,239,
0.3,239,
0.302,239,
0.304,239,
0.306,239,
0.308,239,
0.31,240,
0.312,238,
0.314,238,
0.316,239,
0.318,238,
0.32,238,
0.322,238,
0.324,238,
0.326,239,
0.328,238,
0.33,238,
0.332,238,
0.334,238,
0.336,239,
0.338,238,
0.34,238,
0.342,238,
0.344,238,
0.346,238,
0.348,238,
0.35,238,
0.352,238,
0.354,237,
0.356,237,
0.358,238,
0.36,238,
0.362,238,
0.364,238,
0.366,238,
0.368,238,
0.37,238,
0.372,237,
0.374,237,
0.376,237,
0.378,238,
0.38,238,
0.382,238,
0.384,238,
0.386,238,
0.388,237,
0.39,237,
0.392,237,
0.394,237,
0.396,237,
0.398,237,
0.4,237,
0.402,237,
0.404,237,
0.406,238,
0.408,237,
0.41,237,
0.412,237,
0.414,236,
0.416,237,
0.418,237,
0.42,237,
0.422,237,
0.424,237,
0.426,236,
0.428,237,
0.43,237,
0.432,237,
0.434,236,
0.436,237,
0.438,237,
0.44,237,
0.442,237,
0.444,237,
0.446,237,
0.448,236,
0.45,237,
0.452,237,
0.454,237,
0.456,236,
0.458,236,
0.46,236,
