Time (s from start),LDR Value,Marker
0.0,371,Start Block 1
0.002,370,
0.004,370,
0.006,370,
0.008,370,
0.01,370,
0.012,370,
0.014,370,
0.016,370,
0.018,371,
0.02,370,
0.022,370,
0.024,370,
0.026,370,
0.028,371,
0.03,370,
0.032,370,
0.034,370,
0.036,371,
0.038,370,
0.04,371,
0.042,371,
0.044,371,
0.046,370,
0.048,371,
0.05,370,
0.052,370,
0.054,370,
0.056,371,
0.058,371,
0.06,370,
0.062,365,
0.064,357,
0.066,350,
0.068,343,
0.07,337,
0.072,332,
0.074,327,
0.076,323,
0.078,319,
0.08,314,
0.082,309,
0.084,305,
0.086,302,
0.088,299,
0.09,296,
0.092,293,
0.094,291,
0.096,289,
0.098,287,
0.1,285,
0.102,283,
0.104,281,
0.106,280,
0.108,278,
0.11,277,
0.112,276,
0.114,275,
0.116,273,
0.118,273,
0.12,272,
0.122,271,
0.124,270,
0.126,269,
0.128,269,
0.13,268,
0.132,267,
0.134,266,
0.136,266,
0.138,266,
0.14,265,
0.142,264,
0.144,264,
0.146,264,
0.148,263,
0.15,263,
0.152,263,
0.154,262,
0.156,262,
0.158,261,
0.16,261,
0.162,261,
0.164,260,
0.166,260,
0.168,259,
0.17,259,
0.172,259,
0.174,259,
0.176,259,
0.178,259,
0.18,259,
0.182,258,
0.184,258,
0.186,258,
0.188,257,
0.19,257,
0.192,257,
0.194,257,
0.196,256,
0.198,257,
0.2,257,
0.202,256,
0.204,256,
0.206,256,
0.208,256,
0.21,256,
0.212,256,
0.214,255,
0.216,255,
0.218,255,
0.22,255,
0.222,254,
0.224,254,
0.226,254,
0.228,254,
0.23,254,
0.232,254,
0.234,254,
0.236,254,
0.238,254,
0.24,254,
0.242,254,
0.244,253,
0.246,253,
0.248,253,
0.25,253,
0.252,253,
0.254,253,
0.256,253,
0.258,253,
0.26,253,
0.262,253,
0.264,253,
0.266,252,
0.268,252,
0.27,252,
0.272,252,
0.274,252,
0.276,252,
0.278,252,
0.28,252,
0.282,252,
0.284,252,
0.286,252,
0.288,252,
0.29,252,
0.292,253,
0.294,252,
0.296,252,
0.298,252,
0.3,252,
0.302,252,
0.304,251,
0.306,251,
0.308,251,
0.31,251,
0.312,251,
0.314,251,
0.316,251,
0.318,251,
0.32,251,
0.322,251,
