Timestamp,Value,Type
88914120.0,229,LDR
88916120.0,230,LDR
88918120.0,230,LDR
88920120.0,229,LDR
88922120.0,229,LDR
88924120.0,229,LDR
88926120.0,229,LDR
88928120.0,229,LDR
88930120.0,230,LDR
88932120.0,229,LDR
88934120.0,229,LDR
88936120.0,228,LDR
88938120.0,229,LDR
88940120.0,229,LDR
88942120.0,229,LDR
88944120.0,229,LDR
88946120.0,229,LDR
88948120.0,229,LDR
88950120.0,230,LDR
88952120.0,229,LDR
88954120.0,229,LDR
88956120.0,229,LDR
88958120.0,229,LDR
88960120.0,229,LDR
88962120.0,229,LDR
88964120.0,229,LDR
88966120.0,229,LDR
88968120.0,229,LDR
88970120.0,230,LDR
88972120.0,229,LDR
88974120.0,229,LDR
88976120.0,230,LDR
88978120.0,229,LDR
88980120.0,228,LDR
88982120.0,229,LDR
88984120.0,229,LDR
88986120.0,229,LDR
88988120.0,229,LDR
88990120.0,229,LDR
88992120.0,229,LDR
88994120.0,229,LDR
88996120.0,229,LDR
88998120.0,230,LDR
89000120.0,229,LDR
89002120.0,229,LDR
89004120.0,229,LDR
89006120.0,229,LDR
89008120.0,229,LDR
89010120.0,229,LDR
89012120.0,229,LDR
89014120.0,229,LDR
89016120.0,229,LDR
89018120.0,230,LDR
89020120.0,228,LDR
89022120.0,229,LDR
89024120.0,229,LDR
89026120.0,229,LDR
89028120.0,229,LDR
89030120.0,228,LDR
89032120.0,229,LDR
89034120.0,230,LDR
89036120.0,229,LDR
89038120.0,230,LDR
89040120.0,229,LDR
89042120.0,229,LDR
89044120.0,229,LDR
89046120.0,229,LDR
89048120.0,229,LDR
89050120.0,229,LDR
89052120.0,229,LDR
89054120.0,229,LDR
89056120.0,230,LDR
89058120.0,229,LDR
89060120.0,230,LDR
89062120.0,229,LDR
89064120.0,229,LDR
89066120.0,229,LDR
89068120.0,229,LDR
89070120.0,229,LDR
89072120.0,229,LDR
89074120.0,229,LDR
89076120.0,229,LDR
89078120.0,229,LDR
89080120.0,229,LDR
89082120.0,229,LDR
89084120.0,229,LDR
89086120.0,229,LDR
89088120.0,228,LDR
89090120.0,228,LDR
89092120.0,230,LDR
89094120.0,229,LDR
89096120.0,229,LDR
89098120.0,229,LDR
89100120.0,230,LDR
89102120.0,229,LDR
89104120.0,229,LDR
89106120.0,229,LDR
89108120.0,229,LDR
89110120.0,229,LDR
89112120.0,229,LDR
89114120.0,230,LDR
89116120.0,229,LDR
89118120.0,229,LDR
89120120.0,229,LDR
89122120.0,229,LDR
89124120.0,229,LDR
89126120.0,229,LDR
89128120.0,229,LDR
89130120.0,229,LDR
89132120.0,229,LDR
89134120.0,229,LDR
89136120.0,229,LDR
89138120.0,230,LDR
89140120.0,229,LDR
89142120.0,230,LDR
89144120.0,229,LDR
89146120.0,228,LDR
89148120.0,229,LDR
89150120.0,228,LDR
89152120.0,229,LDR
89154120.0,229,LDR
89156120.0,229,LDR
89158120.0,229,LDR
89160120.0,230,LDR
89162120.0,229,LDR
89164120.0,228,LDR
89166120.0,229,LDR
89168120.0,228,LDR
89170120.0,230,LDR
89172120.0,229,LDR
89174120.0,228,LDR
89176120.0,229,LDR
89178120.0,229,LDR
89180120.0,228,LDR
89182120.0,229,LDR
89184120.0,229,LDR
89186120.0,229,LDR
89188120.0,229,LDR
89190120.0,230,LDR
89192120.0,228,LDR
89194120.0,229,LDR
89196120.0,229,LDR
89198120.0,230,LDR
89200120.0,229,LDR
89202120.0,229,LDR
89204120.0,229,LDR
89206120.0,229,LDR
89208120.0,229,LDR
89210120.0,228,LDR
89212120.0,229,LDR
89214120.0,229,LDR
89216120.0,229,LDR
89218120.0,229,LDR
89220120.0,229,LDR
89222120.0,228,LDR
89224120.0,229,LDR
89226120.0,228,LDR
89228120.0,228,LDR
89230120.0,229,LDR
89232120.0,229,LDR
89234120.0,229,LDR
89236120.0,229,LDR
89238120.0,229,LDR
89240120.0,229,LDR
89242120.0,229,LDR
89244120.0,229,LDR
89246120.0,229,LDR
89248120.0,229,LDR
89250120.0,229,LDR
89252120.0,229,LDR
89254120.0,228,LDR
89256120.0,229,LDR
89258120.0,229,LDR
89260120.0,229,LDR
89262120.0,229,LDR
89264120.0,228,LDR
89266120.0,229,LDR
89268120.0,228,LDR
89270120.0,228,LDR
89272120.0,229,LDR
89274120.0,229,LDR
89276120.0,229,LDR
89278120.0,230,LDR
89280120.0,229,LDR
89282120.0,229,LDR
89284120.0,229,LDR
89286120.0,229,LDR
89288120.0,229,LDR
89290120.0,227,LDR
89292120.0,229,LDR
89294120.0,229,LDR
89296120.0,228,LDR
89298120.0,229,LDR
89300120.0,228,LDR
89302120.0,229,LDR
89304120.0,229,LDR
89306120.0,228,LDR
89308120.0,229,LDR
89310120.0,228,LDR
89312120.0,229,LDR
89314120.0,229,LDR
89316120.0,229,LDR
89318120.0,229,LDR
89320120.0,229,LDR
89322120.0,228,LDR
89324120.0,228,LDR
89326120.0,229,LDR
89328120.0,228,LDR
89330120.0,228,LDR
89332120.0,228,LDR
89334120.0,229,LDR
89336120.0,229,LDR
89338120.0,228,LDR
89340120.0,229,LDR
89342120.0,229,LDR
89344120.0,229,LDR
89346120.0,229,LDR
89348120.0,228,LDR
89350120.0,227,LDR
89352120.0,229,LDR
89354120.0,229,LDR
89356120.0,229,LDR
89358120.0,229,LDR
89360120.0,228,LDR
89362120.0,228,LDR
89364120.0,229,LDR
89366120.0,229,LDR
89368120.0,228,LDR
89370120.0,229,LDR
89372120.0,229,LDR
89374120.0,229,LDR
89376120.0,230,LDR
89378120.0,229,LDR
89380120.0,230,LDR
89382120.0,228,LDR
89384120.0,229,LDR
89386120.0,229,LDR
89388120.0,229,LDR
89390120.0,229,LDR
89392120.0,229,LDR
89394120.0,229,LDR
89396120.0,229,LDR
89398120.0,229,LDR
89400120.0,229,LDR
89402120.0,229,LDR
89404120.0,228,LDR
89406120.0,229,LDR
89408120.0,229,LDR
89410120.0,228,LDR
89412120.0,229,LDR
89414120.0,229,LDR
89416120.0,229,LDR
89418120.0,229,LDR
89420120.0,229,LDR
89422120.0,228,LDR
89424120.0,228,LDR
89426120.0,228,LDR
89428120.0,228,LDR
89430120.0,229,LDR
89432120.0,228,LDR
89434120.0,229,LDR
89436120.0,228,LDR
89438120.0,228,LDR
89440120.0,229,LDR
89442120.0,229,LDR
89444120.0,228,LDR
89446120.0,228,LDR
89448120.0,228,LDR
89450120.0,228,LDR
89452120.0,229,LDR
89454120.0,228,LDR
89456120.0,228,LDR
89458120.0,228,LDR
89460120.0,228,LDR
89462120.0,228,LDR
89464120.0,229,LDR
89466120.0,229,LDR
89468120.0,228,LDR
89470120.0,230,LDR
89472120.0,229,LDR
89474120.0,228,LDR
89476120.0,228,LDR
89478120.0,229,LDR
89480120.0,228,LDR
89482120.0,228,LDR
89484120.0,229,LDR
89486120.0,228,LDR
89488120.0,228,LDR
89490120.0,227,LDR
89492120.0,228,LDR
89494120.0,228,LDR
89496120.0,229,LDR
89498120.0,229,LDR
89500120.0,227,LDR
89502120.0,228,LDR
89504120.0,228,LDR
89506120.0,229,LDR
89508120.0,228,LDR
89510120.0,229,LDR
89512120.0,229,LDR
89514120.0,228,LDR
89516120.0,229,LDR
89518120.0,229,LDR
89520120.0,229,LDR
89522120.0,229,LDR
89524120.0,228,LDR
89526120.0,229,LDR
89528120.0,228,LDR
89530120.0,230,LDR
89532120.0,229,LDR
89534120.0,228,LDR
89536120.0,228,LDR
89538120.0,229,LDR
89540120.0,228,LDR
89542120.0,229,LDR
89544120.0,228,LDR
89546120.0,228,LDR
89548120.0,229,LDR
89550120.0,228,LDR
89552120.0,229,LDR
89554120.0,229,LDR
89556120.0,228,LDR
89558120.0,228,LDR
89560120.0,229,LDR
89562120.0,229,LDR
89564120.0,228,LDR
89566120.0,228,LDR
89568120.0,229,LDR
89570120.0,227,LDR
89572120.0,229,LDR
89574120.0,230,LDR
89576120.0,229,LDR
89578120.0,229,LDR
89580120.0,229,LDR
89582120.0,228,LDR
89584120.0,229,LDR
89586120.0,228,LDR
89588120.0,229,LDR
89590120.0,229,LDR
89592120.0,228,LDR
89594120.0,228,LDR
89596120.0,228,LDR
